CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"Footnotes
1990","Footnotes
1991","Footnotes
1992","Footnotes
1993","Footnotes
1994","Footnotes
1995","Footnotes
1996","Footnotes
1997","Footnotes
1998","Footnotes
1999","Footnotes
2000","Footnotes
2001","Footnotes
2002","Footnotes
2003","Footnotes
2004","Footnotes
2005","Footnotes
2006","Footnotes
2007","Footnotes
2008","Footnotes
2009","Footnotes
2010","Footnotes
2011","Footnotes
2012","Footnotes
2013","Footnotes
2014","Footnotes
2015","Footnotes
2016","Footnotes
2017"
270,Gambia,7016,...,...,...,...,8586,...,...,...,12571,9323,8709,6353,9310,8797,11223,8829.299805,9131.851563,11030.26758,11373.39355,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Georgia,72584,...,...,...,...,58648,60310,67956,55490,74942,65811,67660,89588,83605,85085,87279,72402,53441,72602,87926,77910.45313,82885.3125,75382.46094,82259.9375,72216.17188,72390.42188,88452.57813,80069.28906,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Germany,273000,228000,282000,314000,316000,309000,239000,252000,323000,294000,294000,327000,359000,215000,287000,261000,248000,333000,269000,280000,300000,257000,272000,276000,257000,249000,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Guinea,1885.25,...,...,...,...,1924.5,2005.625,2059.25,2117.5,2064.125,1910.375,2158.75,1956.125,2014.125,1708.939941,2000.01001,1751,1616,1755.300049,1778.699951,2099.199951,1933,2251,2096,1912,2154,2068,2049,,,,,,,,,,,,,,,17,17,17,17,17,17,,,,,,,,
348,Hungary,46779,55480,45570,49941,50030,64263,63500,49700,68100,75700,40548,57102,52452,43340,63798,69378,54220,58400,56451,58311,92535,39153,45384,62031,70680,51429,65751,58218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Iceland,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,153277,182893,183092,164497,177101,141043,189993,168420,173377,194159,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,India,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3570000,3996000,3819000,3882000,3674000,3136000,3989000,3669000,3467000,4085000,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Indonesia,...,...,...,...,...,...,...,...,...,...,2088144.5,4208330.5,3524604.75,4630801.5,...,2448876.75,1416953.625,4748768.5,4586259.5,4460402.5,4653411.5,4028856.25,4463717.5,5606710.5,3994410.25,3703368.25,3989252.25,5344010.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Iraq,...,...,...,...,...,...,...,134639,92206,78221,92423,75485,96636,89644,75050,59980,96636,64801,54921,...,...,46380,31620,86515,108812,62326,24178,49482,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Ireland,90590,81254.25781,86111.54688,88750.75781,97777.46094,85873,82966.9375,86567.78906,98107.35938,93474.6875,94226,70248,102101,72375,82791,80279,91144,82798,98950,105506,74010,89439,92120,83886,97855,105541,82483,87221,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Italy,296000,...,...,...,...,...,...,...,...,...,244649,190839,283729,218186,274199,250316,201418,194680,262290,272026,306883,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Jamaica,21212,...,...,...,...,...,...,...,...,19574,16903,20222,23860,20387,19794,21080,18299,23509,21563,17830,25247,20205,18488,16189,16695,14431,19333,23708,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Jordan,8379,...,...,...,...,8440,6046,8746,9110,2973,3651,7375,7545,9708,6951,9304,6258,7683,5193.72998,6378.97998,8727.660156,6477,5943,8120,7228,8884,9483,8165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Kazakhstan,...,...,...,...,...,...,...,...,...,...,...,...,...,770723,874853,744034,861226,812169,694977,880304,877579,874853,705879,940263,746623,907392,1081786,784772,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Kuwait,...,...,...,...,...,155.6000061,187.3999939,215.3000031,111.6999969,168.1999969,80.80000305,129.5,141.1999969,152.3000031,218,188,130.8999939,106.4000015,39.70000076,119.4000015,34.97999954,86.30999756,130.1999969,120.5,75.09999847,99.97000122,88.90000153,52.20000076,,,,,,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
417,Kyrgyzstan,91064.5,...,...,...,...,62060.69922,82101.70313,68465.29688,117132.8984,105759.2031,88132.70313,81664.5,110595.1016,116110.3984,100809.7969,93539.5,84046.60156,77295.79688,74675.10156,102265.5,18071.80078,16060.59961,12506.40039,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Latvia,54578,43468,41401,45664,43662,46117,36565,48027,49988,41184,42629,50702,37841,41723,44755,42216,34558,48579,47873,47927,54298,42132,48495,40641,48556,38852,51010,49302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Lebanon,...,...,...,...,...,...,...,...,...,8600,8600,...,...,...,...,...,...,...,...,8600,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Lithuania,52877,39381,40033,46422,46553,46162,34230,44206,55600,41700,39968,50302,40737,40104,47270,43810,39642,51603,43398,46871,55033,44977,51598,43152,41198,38517,51985,57852,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Luxembourg,2332,1717,2374,2348,1993,2234,...,...,...,2023,...,...,...,...,...,...,...,...,2411,2156,1918,1508,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Madagascar,...,...,...,...,...,...,...,...,...,...,888000,...,...,...,...,...,...,888191.1875,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,19,,,,,,,19,,,,,,,,,,
458,Malaysia,...,...,...,...,...,...,...,706244.125,782802.875,932495.4375,900660.25,860908.6875,745488.5,915330.3125,805451.625,826437.3125,908918.3125,937742.8125,1006207.375,933304.25,873518.9375,984810.125,891219.5625,864517.0625,845344.25,803071.6875,786319.25,1002596,,,,,,,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
462,Maldives,485.5499878,...,...,...,...,422.1000061,585.1500244,585,641.8499756,794.7600098,530.3699951,542.0300293,649.9899902,600.75,638.9400024,523.5,666.6699829,563.0599976,591.3599854,610.3400269,644.0599976,512.1500244,501.5799866,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Mali,415000,...,...,...,...,...,...,...,...,...,...,...,...,...,415000,415000,415000,415000,415000,415000,415000,400092,400092,400092,400092,400092,402694,403498,,,,,,,,,,,,,,,21,21,21,21,21,21,21,21,21,21,21,21,21,21
470,Malta,191,175.0599976,155.0599976,149.4700012,209.3800049,220,197.0299988,282.6600037,108.5500031,227.1100006,143,107,144,285,146,160,171,196,158,215,162,187,164,152,159,175,103,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,Marshall Islands,118.3000031,...,...,...,...,131.3699951,152.5700073,125.1999969,102.0599976,124.0500031,135.3800049,124.0400009,144.9299927,130,120.5500031,132.1399994,104.7600021,107.7699966,115.5,109.2600021,143.0700073,144.4100037,107.25,99.55999756,145.1199951,141.2200012,...,...,22,,,,,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,,
480,Mauritius,3202,...,...,...,...,4094,3445,3654,3861,2002,3654,3445,3764,4284,3890,4801,3562,3683,4179,4213,3927,3295,3141,3691,3730,4771,3607,4041,24,,,,,,24,24,24,25,,,,,24,24,24,24,24,24,24,24,24,24,24,24,24,24
492,Monaco,1.110000014,...,...,...,...,1.190000057,1.730000019,1.039999962,0.899999976,1.279999971,2.140000105,0.720000029,1.700000048,1.00999999,1.110000014,1.350000024,1.210000038,0.680000007,2.289999962,1.769999981,2.190000057,1.419999957,1.769999981,2.170000076,3,1.440000057,1.162999988,0.977680027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Morocco,...,...,...,...,...,262500,...,...,...,172500,...,...,...,...,...,...,...,139000,165000,165000,165000,146000,91000,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Nauru,65.28900146,...,...,...,...,...,...,...,...,...,...,...,...,...,66.93499756,58.2120018,42.4620018,18.3409996,7.132999897,46.20199966,22.90200043,25.62800026,30.77499962,...,60.39599991,88.68299866,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Nepal,276700,...,...,...,...,...,...,...,...,...,...,...,...,...,233429,206200,212235,285972,252562,229455,250207,256962,222979,250354,223420,205611,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Netherlands,24940,24344,32538,31586,...,29810,23830,26520,39410,32240,33510,35710,33280,25382,34045,31154,30418,36559,32924,29896,32451,31397,34987,30497,31678,35341,32032,35199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Niger,425907.8125,...,...,...,...,425573.7813,473708.25,427716.1563,602930.75,577441,435767.375,467281.125,441238.5,...,399231.6875,572338.4375,530492.875,532140,490432.6563,443403.9375,563043.3125,442390.3125,604485.6875,...,...,...,...,...,26,,,,,26,26,26,26,26,26,26,26,,26,26,26,26,26,26,26,26,26,,,,,
807,North Macedonia,13860,...,...,...,...,22664,16414,12704.2998,15776,21780,13650,13486,24172,18532,22797,19174,13863,15422,12999,14528,20930,10207.41797,16544.38672,15359.33887,21698.23633,17889.17773,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Norway,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,296366,465153,379740,397998,357169,444104,359203,394534,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,
512,Oman,...,...,...,...,...,...,...,...,...,...,9481,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Panama,189232,...,...,...,...,215991,225321,156306,204365,214792,215128.3125,206315.5,203652.0469,237233.7344,218414.9375,228325.4219,219090.2813,247074.8281,217466.3906,208818.1719,265632.9375,209856.6094,185971.0469,175760.9375,180933.1875,147431.5469,193960.625,208954.4844,,,,,,,,,,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
600,Paraguay,738641.3125,...,...,...,...,517728.375,592198,589819.4375,699328.6875,462376.5938,602081.8125,541071.5625,633679.5625,608295.875,586477.125,545852.0625,566126.5,547898.8125,493101.7813,636689.75,585615.4375,547480.125,569653.5,527679.375,720080.8125,773074.875,669789.9375,697115.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,Philippines,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,653095.25,718651.5625,652524.75,899305.8125,767214.75,567576.3125,978893.6875,835447.375,729876.8125,663560.5,538834.75,...,...,,,,,,,,,,,,,,,,28,28,28,28,28,28,28,28,28,28,28,,
616,Poland,203125,188991.7969,170659.2031,189576.2031,201489.2031,205054,192546.7031,198987.9063,220093.5,199832,197268,232444,210525,152305,194141,179502,193361,225164,200307,211421,248911,215303,195948,210158,199870,155818,218545,248836,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,Portugal,93571,50400,63900,82000,57500,58737,111270,107298,61773,72866,71207,131785,52427,80606,61516,35188,66782,76685,52684,45418,79650,70534,52763,85997,95028,49555,86014,46770,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Qatar,...,...,...,...,...,...,...,...,660.7000122,654.7000122,882.7999878,54.29999924,454.7000122,805.2999878,489.3999939,612.0999756,1490.300049,422.2999878,388.7000122,922.2000122,352.8999939,874.7000122,418.7999878,735.9000244,492.7999878,970.0999756,688.7999878,965.4000244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Republic of Moldova,12979.2002,...,...,...,...,18792.80078,22713.59961,21226.40039,21530.59961,18599,15412.7998,20246.19922,19739.19922,15514.2002,19806.80078,20682.40039,17170.40039,16967.59961,18995.59961,14348,24105,13774,17690,19851,19783,14483,20829,19235,29,,,,,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,
642,Romania,113000,170000,116000,137000,123000,147000,151000,171000,170000,170000,102000,170000,155000,131000,167000,206000,162500,174000,158000,156000,201750,119290,148798,162799,197196,152358,187738,157892,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,Russian Federation,...,...,...,...,...,9965212,9376102,9900136,9997750,9761421,10112490,10055976,10103927,9502829,10443008,9632981,10139890,10028576,10062826,10052551,9853898,9497691,10213529,10960192,9644969,11484226,10203254,9977200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,Rwanda,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,31666.17969,30475.69922,33941.78125,35158.60156,32414.17969,...,...,...,...,...,,,,,,,,,,,,,,,,,,,30,30,30,30,30,,,,,
659,Saint Kitts and Nevis,252.1799927,...,...,...,...,214.6999969,230.3999939,156.9100037,...,300.3599854,167.9600067,193.7200012,121.1299973,160.5800018,290.3399963,270.0299988,252.2700043,138.8000031,192.1600037,161.3800049,347.230011,279.6000061,173.1699982,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,Saudi Arabia,...,...,...,...,...,...,...,...,...,...,189318.5156,136407.6875,153711.1094,145020.6875,155358.625,199827.5938,186668.9688,102110.3438,94117.24219,123055.1719,151434.4844,156331.0313,107985.7109,188637.0313,124437.0391,141734.5313,192000,144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
