Country ID,Country,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GHG total without LULUCF, latest year",% change since 1990,"GHG emissions per capita,
 latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"1000 t of
 CO₂ equivalent",%,kg of CO₂ equivalent
818,Egypt,"1,16,739.56",...,...,...,...,...,...,...,...,...,"1,93,237.58",...,...,...,...,"2,41,631.56",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,241631.56,106.98,3.20
222,El Salvador,...,...,...,...,"11,716.71",...,...,...,...,...,...,...,...,...,...,"11,069.00",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,11069.00,...,1.83
232,Eritrea,...,...,...,...,"4,167.71",833.29,928.01,855.10,708.82,758.47,"3,934.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,3934.00,...,1.72
233,Estonia,"40,277.31","37,156.12","27,157.90","21,206.14","21,900.77","20,109.10","20,797.26","20,423.99","18,916.39","17,585.33","17,246.55","17,619.03","17,067.92","18,971.86","19,305.70","19,012.24","18,295.81","22,023.10","19,872.67","16,519.60","21,019.06","21,058.29","19,966.95","21,848.04","21,056.79","18,109.74","19,640.42","20,923.49","19,974.14",2018,19974.14,-50.41,15.10
748,Eswatini,...,...,...,...,"7,538.68",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,7538.68,...,8.31
231,Ethiopia,"43,018.00","44,607.00","43,683.00","44,095.00","45,525.57","45,164.66","47,441.01","68,313.47","69,184.28","69,450.89","67,907.18","71,058.02","78,599.97","78,329.96","81,163.65","62,776.98","72,297.33","74,642.46","83,531.34","86,741.50","92,482.99","90,195.10","94,222.52","94,995.96",...,...,...,...,...,2013,94995.96,120.83,1.00
242,Fiji,...,...,...,...,"1,391.33",...,...,...,...,...,...,...,...,...,"2,710.07",...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004,2710.07,...,3.31
246,Finland,"71,065.26","68,854.17","67,416.61","69,684.06","75,215.37","71,656.56","77,633.33","76,321.12","72,626.36","72,016.77","70,145.35","75,475.58","77,909.24","85,532.07","81,839.01","69,837.08","81,207.90","79,544.79","71,452.38","67,834.70","75,649.74","67,899.41","62,419.24","62,856.36","58,700.07","55,086.25","58,039.64","55,336.72","56,359.07",2018,56359.07,-20.69,10.21
250,France,"5,51,404.78","5,78,699.48","5,66,925.42","5,44,411.47","5,38,971.27","5,46,666.86","5,64,234.85","5,57,026.92","5,70,706.96","5,62,824.23","5,56,689.81","5,61,632.97","5,55,016.01","5,59,892.55","5,58,006.76","5,59,561.38","5,47,350.92","5,36,920.91","5,29,131.49","5,10,222.31","5,16,993.59","4,88,626.08","4,89,044.21","4,90,340.67","4,60,180.56","4,64,049.06","4,65,667.52","4,70,593.20","4,52,209.68",2018,452209.68,-17.99,6.96
266,Gabon,...,...,...,...,"6,524.33",...,...,...,...,...,"6,159.55",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,6159.55,...,5.01
270,Gambia,...,...,...,"4,257.81",...,...,...,...,...,...,"19,383.19",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,19383.19,...,14.71
268,Georgia,"38,688.05","36,347.18","23,622.48","14,600.33","10,689.90","8,539.54","11,746.65","9,167.12",...,...,"10,620.63","10,018.09","9,844.42","10,428.84","11,139.53","11,408.13","13,768.41","14,424.61","13,770.38","13,052.95","12,877.32","15,947.92","17,159.07","16,610.14",...,...,...,...,...,2013,16610.14,-57.07,4.10
276,Germany,"12,49,458.56","12,02,408.48","11,52,233.12","11,43,321.08","11,24,269.24","11,21,370.24","11,39,309.80","11,04,200.14","10,78,910.26","10,45,140.62","10,43,426.39","10,58,627.88","10,37,293.21","10,34,945.73","10,18,676.23","9,93,198.75","10,00,519.90","9,73,838.74","9,76,672.15","9,09,260.14","9,42,338.00","9,19,434.65","9,24,147.41","9,41,570.26","9,02,388.74","9,06,320.05","9,09,052.47","8,94,296.28","8,58,368.68",2018,858368.68,-31.30,10.33
288,Ghana,"9,228.17","8,794.78","9,210.57","9,576.36","9,758.88","10,126.71","10,778.95","11,671.36","11,819.09","12,651.88","14,302.41","14,347.54","15,047.29","15,698.35","15,386.25","16,217.13","18,227.04",...,...,...,...,...,...,...,...,...,...,...,...,2006,18227.04,97.52,0.81
300,Greece,"1,03,308.91","1,03,363.79","1,04,609.04","1,04,210.52","1,06,996.16","1,09,332.94","1,12,478.84","1,17,379.08","1,22,976.55","1,23,133.87","1,26,492.93","1,27,546.73","1,27,561.99","1,31,300.83","1,31,982.90","1,36,446.50","1,32,540.10","1,35,170.74","1,31,846.08","1,24,640.14","1,18,522.25","1,15,593.36","1,12,326.85","1,02,705.10","99,276.89","95,482.14","91,839.59","95,585.97","92,221.66",2018,92221.66,-10.73,8.76
308,Grenada,...,...,...,...,"1,606.47",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,1606.47,...,16.17
320,Guatemala,"14,742.18",...,...,...,"17,577.53",...,...,...,...,...,"19,869.48",...,...,...,...,"22,948.27",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,22948.27,55.66,1.75
324,Guinea,...,...,...,...,"5,057.64",...,...,...,...,...,"47,713.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,47713.00,...,5.79
624,Guinea-Bissau,...,...,...,...,"1,693.96",...,...,...,...,...,...,...,...,...,...,...,"2,150.28",...,...,...,"13,064.99",...,...,...,...,...,...,...,...,2010,13064.99,...,8.58
328,Guyana,"2,553.23","2,563.73","2,570.03","2,584.73","2,587.46","2,561.80","2,690.23","2,872.56","2,896.46","2,996.83","2,845.66","3,305.84","2,666.82","2,923.23","2,891.31",...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004,2891.31,13.24,3.88
332,Haiti,...,...,...,...,"4,066.67","5,361.73","6,116.90","6,432.88","6,495.03","6,742.03","6,683.12",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,6683.12,...,0.79
340,Honduras,...,...,...,...,...,"10,825.89",...,...,...,...,"10,298.10",...,...,...,...,"13,185.67",...,...,...,...,...,...,...,...,...,"15,977.15",...,...,...,2015,15977.15,...,1.75
348,Hungary,"93,950.88","87,286.60","77,236.19","78,119.02","76,973.33","75,352.36","77,569.03","76,028.72","75,560.09","76,110.41","73,234.56","75,218.53","73,535.06","76,488.13","75,630.98","75,386.68","74,139.16","72,456.79","70,519.93","64,481.60","64,856.75","63,239.46","59,569.73","56,763.15","57,391.17","60,797.34","61,257.34","63,781.35","63,219.56",2018,63219.56,-32.71,6.51
