CountryID,Country and area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
591,Panama,109,120,131,128,118,133,144,153,150,172,166,171,169,197
598,Papua New Guinea,123,126,128,160,143,147,141,149,145,151,162,166,170,168
600,Paraguay,181,178,169,168,218,218,231,233,233,232,241,255,271,288
604,Peru,530,565,548,633,629,722,808,804,853,787,890,890,953,960
608,Philippines,1499,1469,1415,1452,1552,1573,1631,1650,1717,1779,1871,2050,2183,2321
616,Poland,3893,3891,4117,4085,4137,3973,4256,4267,4116,4128,3972,4004,4190,4384
620,Portugal,1082,1109,1053,1061,1033,1020,983,956,897,898,885,920,913,951
630,Puerto Rico,24,24,25,26,29,27,27,26,48,56,56,53,61,50
634,Qatar,718,728,913,921,947,1008,1165,1331,1566,1375,1822,1828,1762,1798
498,Republic of Moldova,84,89,89,85,86,71,80,84,91,103,102,100,104,114
639,Reunion,45,49,51,53,54,57,58,...,...,...,...,...,...,...
642,Romania,1626,1626,1687,1674,1657,1464,1474,1508,1469,1342,1326,1341,1336,1401
643,Russian Federation,27149,27338,28177,28236,28912,27142,28932,30305,30605,29940,30424,29843,29516,31182
646,Rwanda,54,71,73,75,78,81,84,88,91,94,96,98,99,99
882,Samoa,3,3,4,4,4,4,4,4,4,4,4,5,5,5
678,Sao Tome and Principe,2,2,2,2,2,2,2,2,3,3,3,3,3,3
682,Saudi Arabia,5971,6047,6576,5828,6503,6922,7707,7399,8323,7985,8876,9728,8635,8946
686,Senegal,111,114,99,108,110,134,165,172,168,155,169,187,175,168
688,Serbia,...,672,713,696,705,633,648,673,605,618,550,612,633,647
690,Seychelles,10,10,10,9,10,7,6,4,6,5,7,7,8,8
694,Sierra Leone,58,56,59,58,58,59,60,63,65,67,69,67,68,68
702,Singapore,1005,899,997,1042,1055,1489,1079,749,996,1116,1126,1236,971,1166
534,Sint Maarten (Dutch part),...,...,...,...,...,...,...,...,11,11,11,12,12,12
703,Slovakia,758,776,768,735,755,690,736,715,687,698,657,675,686,717
705,Slovenia,299,306,307,307,327,299,306,307,296,287,279,275,278,289
90,Solomon Islands,7,7,7,7,8,8,8,8,8,9,8,8,7,7
706,Somalia,104,107,111,113,118,122,126,128,130,137,138,138,145,148
710,South Africa,5658,5183,5575,5801,6145,6271,5887,6020,5820,5790,6097,5719,5828,5910
728,South Sudan,...,...,...,...,...,...,...,...,27,28,30,35,32,28
724,Spain,5812,5936,5943,6015,5832,5358,5354,5257,5227,4861,4753,4927,4964,5227
144,Sri Lanka,321,324,330,332,329,346,360,380,381,380,408,433,467,461
654,St. Helena and Depend.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
659,St. Kitts-Nevis,4,3,3,3,3,3,3,3,3,3,3,3,3,3
662,St. Lucia,5,5,5,4,4,5,5,5,5,5,5,5,5,5
666,St. Pierre-Miquelon,1,1,1,1,1,1,1,1,1,1,1,1,1,1
670,St. Vincent-Grenadines,3,3,3,4,3,5,3,3,4,3,4,3,4,4
275,State of Palestine,49,58,51,53,51,52,54,59,58,61,69,72,77,78
729,Sudan,...,...,...,...,...,...,...,...,408,442,453,498,491,532
740,Suriname,26,26,29,31,34,35,40,39,44,45,45,43,37,40
752,Sweden,2176,2135,2077,2066,2052,1876,2109,2056,2074,2043,1997,1854,2041,2033
757,Switzerland,1080,1074,1120,1065,1106,1114,1080,1046,1056,1099,1030,1010,982,988
760,Syrian Arab Republic,754,740,789,959,972,905,911,837,650,530,454,419,418,374
762,Tajikistan,149,148,151,159,152,141,143,140,148,146,158,167,178,187
764,Thailand,3971,4067,4136,4229,4290,4577,4945,4930,5284,5684,5701,5662,5812,5777
626,Timor-Leste,4,4,4,4,4,4,4,5,5,7,8,8,8,8
768,Togo,97,99,99,103,107,130,130,131,130,134,139,143,150,154
776,Tonga,2,2,2,2,2,2,2,2,2,2,2,2,2,2
780,Trinidad and Tobago,580,676,755,803,779,782,833,829,812,808,825,797,707,703
788,Tunisia,343,349,361,367,378,380,427,405,422,430,435,452,460,473
792,Turkey,3381,3529,3896,4187,4125,4132,4442,4755,4930,4918,5089,5390,5715,6138
795,Turkmenistan,773,805,824,939,952,834,951,1036,1072,1100,1123,1160,1158,1158
796,Turks and Caicos Islands,1,2,2,2,2,3,3,3,3,3,3,3,3,3
800,Uganda,396,417,436,459,476,498,523,546,567,596,625,655,680,693
804,Ukraine,6027,5872,5638,5720,5523,4727,5491,5225,5135,4846,4434,3753,3960,3739
784,United Arab Emirates,1801,1842,1954,2139,2468,2713,2635,2895,3591,3689,3566,3981,3765,3042
